rf,year,month,sp_ret
0.0043,2006,5,-0.030917
0.004,2006,6,8.70E-05
0.004,2006,7,0.005086
0.0042,2006,8,0.021274
0.0041,2006,9,0.024566
0.0041,2006,10,0.031508
0.0042,2006,11,0.016467
0.004,2006,12,0.012616
0.0044,2007,1,0.014059
0.0038,2007,2,-0.021846
0.0043,2007,3,0.00998
0.0044,2007,4,0.043291
0.0041,2007,5,0.032549
0.004,2007,6,-0.017816
0.004,2007,7,-0.031982
0.0042,2007,8,0.012864
0.0032,2007,9,0.035794
0.0032,2007,10,0.014822
0.0034,2007,11,-0.044043
0.0027,2007,12,-0.008628
0.0021,2008,1,-0.061163
0.0013,2008,2,-0.034761
0.0017,2008,3,-0.00596
0.0018,2008,4,0.047547
0.0018,2008,5,0.010674
0.0017,2008,6,-0.085962
0.0015,2008,7,-0.009859
0.0013,2008,8,0.012191
0.0015,2008,9,-0.090791
0.0008,2008,10,-0.169425
0.0003,2008,11,-0.074849
0,2008,12,0.007822
0,2009,1,-0.085657
0.0001,2009,2,-0.109931
0.0002,2009,3,0.085405
0.0001,2009,4,0.093925
0,2009,5,0.053081
0.0001,2009,6,0.000196
0.0001,2009,7,0.074142
0.0001,2009,8,0.03356
0.0001,2009,9,0.035723
0,2009,10,-0.019762
0,2009,11,0.057364
0.0001,2009,12,0.017771
0,2010,1,-0.036974
0,2010,2,0.028514
0.0001,2010,3,0.058796
0.0001,2010,4,0.014759
0.0001,2010,5,-0.081976
0.0001,2010,6,-0.053882
0.0001,2010,7,0.068778
0.0001,2010,8,-0.047449
0.0001,2010,9,0.087551
0.0001,2010,10,0.036856
0.0001,2010,11,-0.00229
0.0001,2010,12,0.0653
0.0001,2011,1,0.022646
0.0001,2011,2,0.031957
0.0001,2011,3,-0.001047
0,2011,4,0.028495
0,2011,5,-0.013501
0,2011,6,-0.018258
0,2011,7,-0.021474
0.0001,2011,8,-0.056791
0,2011,9,-0.071762
0,2011,10,0.107723
0,2011,11,-0.005059
0,2011,12,0.008533
0,2012,1,0.043583
0,2012,2,0.040589
0,2012,3,0.031332
0,2012,4,-0.007497
0.0001,2012,5,-0.062651
0,2012,6,0.039555
0,2012,7,0.012598
0.0001,2012,8,0.019763
0.0001,2012,9,0.024236
0.0001,2012,10,-0.019789
0.0001,2012,11,0.002847
0.0001,2012,12,0.007068
0,2013,1,0.050428
0,2013,2,0.011061
0,2013,3,0.035988
0,2013,4,0.018086
0,2013,5,0.020763
0,2013,6,-0.014999
0,2013,7,0.049462
0,2013,8,-0.031298
0,2013,9,0.029749
0,2013,10,0.044596
0,2013,11,0.028049
0,2013,12,0.023563
0,2014,1,-0.035583
0,2014,2,0.043117
0,2014,3,0.006932
0,2014,4,0.006201
0,2014,5,0.02103
0,2014,6,0.019058
0,2014,7,-0.01508
0,2014,8,0.037655
0,2014,9,-0.015514
0,2014,10,0.023201
0,2014,11,0.024534
0,2014,12,-0.004189
0,2015,1,-0.031041
0,2015,2,0.054893
0,2015,3,-0.017396
0,2015,4,0.008521
0,2015,5,0.010491
0,2015,6,-0.021012
0,2015,7,0.019742
0,2015,8,-0.062581
0,2015,9,-0.026443
0,2015,10,0.082983
0,2015,11,0.000505
0.0001,2015,12,-0.01753
0.0001,2016,1,-0.050735
0.0002,2016,2,-0.004128
0.0002,2016,3,0.065991
0.0001,2016,4,0.002699
0.0001,2016,5,0.015329
0.0002,2016,6,0.000906
0.0002,2016,7,0.03561
0.0002,2016,8,-0.001219
0.0002,2016,9,-0.001234
0.0002,2016,10,-0.019426
0.0001,2016,11,0.034174
0.0003,2016,12,0.018201
0.0004,2017,1,0.017884
0.0004,2017,2,0.037198
0.0003,2017,3,-0.000389
0.0005,2017,4,0.009091
0.0006,2017,5,0.011576
0.0006,2017,6,0.004814
0.0007,2017,7,0.019349
0.0009,2017,8,0.000546
0.0009,2017,9,0.019303
0.0009,2017,10,0.022188
0.0008,2017,11,0.028083
0.0009,2017,12,0.009832
0.0012,2018,1,0.056179
0.0011,2018,2,-0.038947
0.0011,2018,3,-0.026885
0.0014,2018,4,0.002719
0.0014,2018,5,0.021608
0.0014,2018,6,0.004842
0.0016,2018,7,0.036022
0.0016,2018,8,0.030263
0.0015,2018,9,0.004294
0.0019,2018,10,-0.069403
0.0018,2018,11,0.017859
0.002,2018,12,-0.091777
0.0021,2019,1,0.078684
0.0018,2019,2,0.029729
0.0019,2019,3,0.017924
0.0021,2019,4,0.039313
0.0021,2019,5,-0.065778
0.0018,2019,6,0.06893
0.0019,2019,7,0.013128
0.0016,2019,8,-0.018092
0.0018,2019,9,0.017181
0.0016,2019,10,0.020432
0.0012,2019,11,0.034047
0.0014,2019,12,0.02859
0.0013,2020,1,-0.001628
0.0012,2020,2,-0.08411
0.0013,2020,3,-0.125119
0,2020,4,0.126844
0.0001,2020,5,0.045282
0.0001,2020,6,0.018388
0.0001,2020,7,0.055101
0.0001,2020,8,0.070065
0.0001,2020,9,-0.039228
0.0001,2020,10,-0.027666
0.0001,2020,11,0.107546
0.0001,2020,12,0.037121
0.0001,2021,1,-0.011137
0,2021,2,0.026091
0,2021,3,0.042439
0,2021,4,0.052425
0,2021,5,0.005487
0,2021,6,0.022214
0,2021,7,0.022748
0,2021,8,0.02899
0,2021,9,-0.047569
0,2021,10,0.069144
0,2021,11,-0.008334
0.0001,2021,12,0.043613
0,2022,1,-0.052585
0,2022,2,-0.031361
0.0001,2022,3,0.035773
0.0001,2022,4,-0.087957
0.0003,2022,5,5.30E-05
0.0006,2022,6,-0.08392
0.0008,2022,7,0.091116
0.0019,2022,8,-0.04244
0.0019,2022,9,-0.093396
0.0023,2022,10,0.079863
0.0029,2022,11,0.053753
0.0033,2022,12,-0.058971
0.0035,2023,1,0.061753
0.0034,2023,2,-0.026112
0.0036,2023,3,0.035052
0.0035,2023,4,0.014642
0.0036,2023,5,0.002482
0.004,2023,6,0.064728
0.0045,2023,7,0.031139
0.0045,2023,8,-0.017716
0.0043,2023,9,-0.048719
0.0047,2023,10,-0.02198
0.0044,2023,11,0.089179
0.0043,2023,12,0.044229
